iter	Passed	Remaining
0	2	263
1	4	220
2	6	207
3	7	190
4	9	182
5	10	169
6	12	166
7	13	160
8	15	155
9	16	152
10	18	149
11	20	146
12	21	143
13	22	140
14	24	136
15	25	135
16	27	134
17	29	132
18	31	132
19	33	132
20	35	131
21	36	130
22	38	129
23	39	126
24	41	124
25	43	123
26	45	121
27	47	120
28	48	119
29	50	118
30	52	117
31	54	116
32	56	115
33	58	113
34	59	111
35	61	109
36	63	107
37	65	106
38	67	105
39	68	103
40	70	101
41	71	98
42	72	95
43	73	94
44	75	92
45	77	91
46	79	89
47	81	87
48	82	85
49	84	84
50	85	82
51	87	81
52	89	79
53	91	77
54	92	75
55	94	74
56	95	72
57	96	70
58	98	68
59	100	67
60	102	65
61	104	64
62	106	62
63	108	60
64	110	59
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	119	48
71	121	47
72	123	45
73	124	43
74	126	42
75	128	40
76	130	38
77	132	37
78	134	35
79	135	33
80	137	32
81	138	30
82	139	28
83	141	26
84	143	25
85	144	23
86	146	21
87	148	20
88	150	18
89	151	16
90	153	15
91	155	13
92	157	11
93	158	10
94	160	8
95	162	6
96	163	5
97	165	3
98	166	1
99	168	0
