iter	Passed	Remaining
0	111	111375
1	113	56829
2	116	38644
3	118	29601
4	121	24261
5	124	20630
6	126	18003
7	128	15984
8	130	14367
9	131	13061
10	134	12107
11	136	11238
12	138	10500
13	139	9849
14	141	9294
15	143	8822
16	144	8377
17	147	8022
18	148	7689
19	150	7389
20	152	7114
21	154	6867
22	156	6628
23	157	6404
24	158	6200
25	161	6047
26	163	5891
27	165	5738
28	166	5586
29	168	5443
30	170	5318
31	171	5202
32	173	5096
33	177	5038
34	179	4948
35	181	4849
36	183	4769
37	184	4681
38	186	4592
39	188	4513
40	189	4431
41	191	4367
42	193	4300
43	194	4235
44	196	4170
45	198	4110
46	199	4054
47	202	4010
48	205	3979
49	206	3921
50	207	3857
51	208	3795
52	209	3734
53	210	3679
54	211	3627
55	212	3583
56	213	3536
57	215	3496
58	216	3448
59	218	3428
60	220	3391
61	221	3351
62	222	3312
63	223	3270
64	224	3229
65	225	3187
66	225	3146
67	226	3107
68	227	3069
69	228	3032
70	229	2996
71	229	2961
72	230	2928
73	231	2895
74	232	2868
75	233	2841
76	235	2818
77	236	2791
78	236	2762
79	237	2735
80	238	2707
81	239	2680
82	239	2649
83	240	2622
84	241	2597
85	242	2572
86	242	2548
87	243	2524
88	244	2501
89	245	2478
90	247	2474
91	249	2460
92	250	2441
93	251	2422
94	252	2403
95	253	2384
96	253	2363
97	254	2344
98	255	2325
99	256	2305
100	256	2287
101	257	2269
102	258	2251
103	259	2233
104	260	2216
105	261	2202
106	262	2194
107	264	2184
108	265	2170
109	266	2156
110	267	2142
111	268	2128
112	269	2114
113	270	2100
114	271	2087
115	272	2074
116	272	2059
117	273	2045
118	274	2031
119	275	2017
120	276	2005
121	277	1994
122	278	1983
123	278	1970
124	279	1958
125	280	1946
126	281	1932
127	281	1921
128	282	1910
129	283	1899
130	284	1889
131	285	1878
132	286	1868
133	287	1858
134	288	1847
135	289	1837
136	290	1829
137	291	1819
138	292	1810
139	293	1800
140	293	1790
141	294	1778
142	295	1768
143	295	1758
144	296	1747
145	297	1738
146	297	1729
147	298	1719
148	299	1710
149	300	1701
150	301	1692
151	301	1683
152	302	1675
153	303	1666
154	304	1657
155	306	1656
156	307	1650
157	308	1643
158	309	1636
159	310	1629
160	310	1620
161	311	1613
162	312	1605
163	313	1598
164	314	1591
165	315	1583
166	316	1577
167	317	1570
168	317	1563
169	318	1556
170	319	1551
171	321	1545
172	322	1540
173	323	1534
174	324	1527
175	325	1521
176	325	1515
177	326	1508
178	327	1501
179	328	1495
180	329	1489
181	330	1483
182	331	1477
183	332	1472
184	332	1466
185	335	1467
186	336	1464
187	338	1459
188	338	1454
189	340	1449
190	340	1444
191	342	1439
192	343	1434
193	343	1429
194	344	1423
195	345	1418
196	346	1413
197	347	1408
198	348	1404
199	350	1403
200	352	1401
201	353	1396
202	354	1391
203	355	1385
204	355	1380
205	356	1375
206	357	1370
207	358	1365
208	359	1360
209	360	1356
210	361	1351
211	362	1347
212	366	1353
213	367	1349
214	368	1344
215	368	1338
216	369	1334
217	370	1328
218	371	1324
219	372	1319
220	373	1314
221	374	1310
222	374	1306
223	375	1302
224	376	1298
225	377	1294
226	379	1293
227	380	1289
228	381	1285
229	382	1281
230	383	1276
231	384	1272
232	385	1268
233	386	1263
234	386	1259
235	387	1255
236	388	1250
237	389	1246
238	390	1241
239	390	1237
240	391	1233
241	392	1229
242	394	1230
243	396	1228
244	397	1224
245	398	1221
246	399	1217
247	400	1213
248	401	1209
249	401	1205
250	402	1202
251	403	1198
252	404	1195
253	405	1192
254	406	1188
255	409	1188
256	410	1187
257	411	1184
258	412	1181
259	413	1178
260	414	1174
261	415	1171
262	416	1167
263	417	1164
264	418	1160
265	419	1157
266	420	1153
267	421	1149
268	422	1146
269	423	1144
270	424	1141
271	425	1138
272	426	1134
273	426	1131
274	427	1127
275	428	1123
276	429	1120
277	429	1116
278	430	1113
279	431	1110
280	432	1106
281	433	1103
282	434	1099
283	435	1096
284	435	1093
285	437	1091
286	438	1089
287	440	1088
288	441	1085
289	442	1082
290	443	1079
291	444	1076
292	445	1073
293	445	1070
294	446	1067
295	447	1064
296	448	1061
297	449	1058
298	450	1055
299	450	1052
300	452	1050
301	453	1048
302	454	1045
303	455	1043
304	456	1040
305	457	1037
306	458	1034
307	459	1031
308	460	1028
309	460	1025
310	461	1022
311	462	1019
312	463	1016
313	463	1013
314	464	1011
315	466	1009
316	467	1006
317	468	1003
318	468	1001
319	469	998
320	470	995
321	471	992
322	472	990
323	473	987
324	473	984
325	474	981
326	475	978
327	476	976
328	477	974
329	479	974
330	481	972
331	482	969
332	483	967
333	483	965
334	484	962
335	485	960
336	486	957
337	487	955
338	488	953
339	490	951
340	491	949
341	493	948
342	494	948
343	496	945
344	497	943
345	498	941
346	499	939
347	500	936
348	501	934
349	501	932
350	502	929
351	503	927
352	505	925
353	506	923
354	507	921
355	508	919
356	509	917
357	510	915
358	511	912
359	511	910
360	512	907
361	513	904
362	514	902
363	515	900
364	515	897
365	516	895
366	517	892
367	518	890
368	519	887
369	520	885
370	521	883
371	522	882
372	524	880
373	525	879
374	526	877
375	527	875
376	528	873
377	529	870
378	530	868
379	530	866
380	531	863
381	532	861
382	533	859
383	534	856
384	535	854
385	535	852
386	537	850
387	538	848
388	538	846
389	539	844
390	540	842
391	541	839
392	542	837
393	543	835
394	543	833
395	544	830
396	545	828
397	546	826
398	547	824
399	547	821
400	548	819
401	549	817
402	550	815
403	551	814
404	553	812
405	554	811
406	555	809
407	556	807
408	557	805
409	557	802
410	558	800
411	559	798
412	560	796
413	561	794
414	561	792
415	562	789
416	563	787
417	564	785
418	565	783
419	566	782
420	567	780
421	568	778
422	569	776
423	570	774
424	570	772
425	571	770
426	572	768
427	573	766
428	574	764
429	574	762
430	575	759
431	576	758
432	577	755
433	578	753
434	578	751
435	579	749
436	581	748
437	582	747
438	583	745
439	584	743
440	584	741
441	585	739
442	586	737
443	587	735
444	588	734
445	589	732
446	590	730
447	591	728
448	592	726
449	592	724
450	593	722
451	594	720
452	595	719
453	597	718
454	598	716
455	599	714
456	599	712
457	600	710
458	601	709
459	602	707
460	603	705
461	604	703
462	605	701
463	605	699
464	606	697
465	607	695
466	608	694
467	608	692
468	609	690
469	611	689
470	612	687
471	613	685
472	613	684
473	614	682
474	615	680
475	616	678
476	617	677
477	618	675
478	619	673
479	620	672
480	621	670
481	622	668
482	623	667
483	624	665
484	626	665
485	627	663
486	628	662
487	629	660
488	630	658
489	631	656
490	631	655
491	632	653
492	633	651
493	634	649
494	635	647
495	635	646
496	636	644
497	637	642
498	638	640
499	639	639
500	640	638
501	642	636
502	643	635
503	644	633
504	644	632
505	645	630
506	646	628
507	647	626
508	648	625
509	648	623
510	649	621
511	650	620
512	651	618
513	652	616
514	653	615
515	654	613
516	655	612
517	656	611
518	658	609
519	658	608
520	659	606
521	660	605
522	661	603
523	662	601
524	663	600
525	664	598
526	665	597
527	666	595
528	667	594
529	668	592
530	669	590
531	670	589
532	671	588
533	672	586
534	672	584
535	673	583
536	674	581
537	675	580
538	676	578
539	677	576
540	678	575
541	679	573
542	680	572
543	681	570
544	681	569
545	682	567
546	683	566
547	685	565
548	686	563
549	687	562
550	688	560
551	688	559
552	689	557
553	690	556
554	691	554
555	692	553
556	693	551
557	694	550
558	695	548
559	696	547
560	697	545
561	699	545
562	700	543
563	701	542
564	702	541
565	703	539
566	704	538
567	705	536
568	706	535
569	707	533
570	708	532
571	709	530
572	710	529
573	711	527
574	711	526
575	712	524
576	714	523
577	715	522
578	716	520
579	717	519
580	717	517
581	718	516
582	719	514
583	720	513
584	721	511
585	722	510
586	723	508
587	723	507
588	724	505
589	725	504
590	726	502
591	727	501
592	729	500
593	731	499
594	731	498
595	732	496
596	733	495
597	734	493
598	735	492
599	736	491
600	737	489
601	738	488
602	739	486
603	740	485
604	741	483
605	741	482
606	742	480
607	743	479
608	744	478
609	746	477
610	747	475
611	748	474
612	749	472
613	750	471
614	751	470
615	752	468
616	753	467
617	754	466
618	755	464
619	756	463
620	757	462
621	758	460
622	759	459
623	760	458
624	761	456
625	762	455
626	763	454
627	764	452
628	765	451
629	765	449
630	766	448
631	767	447
632	768	445
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	434
642	779	432
643	780	431
644	781	430
645	782	428
646	783	427
647	784	426
648	785	424
649	787	424
650	788	422
651	790	421
652	790	420
653	791	418
654	792	417
655	793	416
656	794	414
657	795	413
658	796	412
659	797	410
660	798	409
661	799	408
662	800	406
663	801	405
664	803	404
665	804	403
666	804	401
667	805	400
668	806	399
669	807	397
670	808	396
671	809	395
672	810	393
673	811	392
674	812	391
675	813	389
676	814	388
677	815	387
678	816	386
679	817	384
680	818	383
681	819	382
682	820	380
683	821	379
684	821	377
685	822	376
686	823	375
687	824	373
688	825	372
689	825	371
690	826	369
691	827	368
692	828	366
693	829	365
694	829	364
695	830	362
696	831	361
697	833	360
698	834	359
699	834	357
700	835	356
701	836	355
702	837	353
703	838	352
704	838	351
705	839	349
706	840	348
707	841	346
708	842	345
709	843	344
710	844	343
711	845	341
712	846	340
713	847	339
714	848	338
715	849	337
716	850	335
717	851	334
718	852	333
719	853	332
720	854	330
721	855	329
722	856	328
723	857	327
724	858	325
725	859	324
726	862	323
727	863	322
728	864	321
729	864	319
730	865	318
731	866	317
732	867	315
733	867	314
734	868	313
735	869	311
736	870	310
737	871	309
738	871	307
739	872	306
740	873	305
741	874	304
742	875	302
743	876	301
744	877	300
745	879	299
746	880	298
747	881	296
748	882	295
749	882	294
750	883	293
751	884	291
752	885	290
753	886	289
754	886	287
755	887	286
756	888	285
757	889	283
758	890	282
759	891	281
760	892	280
761	893	279
762	894	277
763	895	276
764	896	275
765	897	274
766	898	272
767	899	271
768	900	270
769	901	269
770	902	267
771	903	266
772	904	265
773	905	264
774	907	263
775	908	262
776	909	260
777	910	259
778	910	258
779	911	257
780	912	255
781	913	254
782	914	253
783	914	252
784	915	250
785	916	249
786	917	248
787	918	247
788	919	245
789	920	244
790	921	243
791	922	242
792	923	241
793	924	239
794	925	238
795	926	237
796	927	236
797	928	234
798	929	233
799	929	232
800	930	231
801	931	229
802	932	228
803	933	227
804	934	226
805	935	225
806	936	224
807	937	222
808	938	221
809	939	220
810	940	219
811	940	217
812	941	216
813	942	215
814	943	214
815	944	212
816	945	211
817	945	210
818	946	209
819	947	208
820	949	207
821	951	205
822	952	204
823	952	203
824	953	202
825	954	201
826	955	199
827	956	198
828	957	197
829	958	196
830	958	195
831	959	193
832	960	192
833	961	191
834	962	190
835	962	188
836	964	187
837	966	186
838	967	185
839	968	184
840	969	183
841	970	182
842	970	180
843	971	179
844	972	178
845	973	177
846	974	175
847	974	174
848	975	173
849	976	172
850	977	171
851	978	170
852	979	168
853	980	167
854	981	166
855	982	165
856	983	164
857	984	162
858	985	161
859	986	160
860	987	159
861	987	158
862	988	156
863	989	155
864	990	154
865	990	153
866	991	152
867	992	150
868	994	149
869	995	148
870	996	147
871	997	146
872	998	145
873	999	144
874	1000	142
875	1000	141
876	1001	140
877	1002	139
878	1003	138
879	1004	136
880	1004	135
881	1005	134
882	1006	133
883	1007	132
884	1008	131
885	1009	129
886	1010	128
887	1012	127
888	1013	126
889	1013	125
890	1014	124
891	1015	122
892	1016	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	115
898	1021	114
899	1023	113
900	1024	112
901	1025	111
902	1026	110
903	1027	109
904	1028	107
905	1029	106
906	1029	105
907	1030	104
908	1031	103
909	1032	102
910	1033	100
911	1033	99
912	1034	98
913	1035	97
914	1036	96
915	1037	95
916	1038	94
917	1040	92
918	1041	91
919	1042	90
920	1043	89
921	1044	88
922	1044	87
923	1045	85
924	1046	84
925	1047	83
926	1048	82
927	1048	81
928	1049	80
929	1050	79
930	1051	77
931	1051	76
932	1053	75
933	1054	74
934	1055	73
935	1056	72
936	1057	71
937	1058	69
938	1059	68
939	1060	67
940	1061	66
941	1062	65
942	1063	64
943	1064	63
944	1065	61
945	1065	60
946	1066	59
947	1067	58
948	1069	57
949	1070	56
950	1070	55
951	1071	54
952	1072	52
953	1073	51
954	1074	50
955	1075	49
956	1076	48
957	1077	47
958	1078	46
959	1079	44
960	1080	43
961	1081	42
962	1082	41
963	1083	40
964	1084	39
965	1085	38
966	1086	37
967	1087	35
968	1088	34
969	1089	33
970	1089	32
971	1091	31
972	1091	30
973	1092	29
974	1093	28
975	1094	26
976	1095	25
977	1097	24
978	1098	23
979	1100	22
980	1101	21
981	1101	20
982	1102	19
983	1103	17
984	1104	16
985	1105	15
986	1106	14
987	1107	13
988	1108	12
989	1110	11
990	1111	10
991	1112	8
992	1113	7
993	1114	6
994	1115	5
995	1115	4
996	1116	3
997	1117	2
998	1118	1
999	1119	0
